,rider,stage_results_id,rank,team,points,Type
0,Albasini Michael,1,40,ORICA-Scott,0.0,Individual time trial
1,Albasini Michael,2,49,ORICA-Scott,0.0,Flat stage
2,Albasini Michael,3,51,ORICA-Scott,0.0,Medium mountain stage
3,Albasini Michael,4,110,ORICA-Scott,0.0,Flat stage
4,Albasini Michael,5,128,ORICA-Scott,0.0,Medium mountain stage
5,Albasini Michael,6,38,ORICA-Scott,0.0,Flat stage
6,Albasini Michael,7,146,ORICA-Scott,0.0,Flat stage
7,Albasini Michael,8,105,ORICA-Scott,0.0,Medium mountain stage
8,Albasini Michael,9,117,ORICA-Scott,0.0,High mountain stage
9,Albasini Michael,10,72,ORICA-Scott,0.0,Flat stage
10,Albasini Michael,11,91,ORICA-Scott,0.0,Flat stage
11,Albasini Michael,12,156,ORICA-Scott,0.0,High mountain stage
12,Albasini Michael,13,125,ORICA-Scott,0.0,High mountain stage
13,Albasini Michael,14,83,ORICA-Scott,0.0,Medium mountain stage
14,Albasini Michael,15,102,ORICA-Scott,0.0,Medium mountain stage
15,Albasini Michael,16,109,ORICA-Scott,0.0,Medium mountain stage
16,Albasini Michael,17,129,ORICA-Scott,0.0,High mountain stage
17,Albasini Michael,18,137,ORICA-Scott,0.0,High mountain stage
18,Albasini Michael,19,9,ORICA-Scott,14.0,Flat stage
19,Albasini Michael,20,74,ORICA-Scott,0.0,Individual time trial
20,Albasini Michael,21,103,ORICA-Scott,0.0,Flat stage
21,Amador Andrey,1,19,Movistar Team,0.0,Individual time trial
22,Amador Andrey,2,188,Movistar Team,0.0,Flat stage
23,Amador Andrey,3,120,Movistar Team,0.0,Medium mountain stage
24,Amador Andrey,4,91,Movistar Team,0.0,Flat stage
25,Amador Andrey,5,104,Movistar Team,0.0,Medium mountain stage
26,Amador Andrey,6,90,Movistar Team,0.0,Flat stage
27,Amador Andrey,7,111,Movistar Team,0.0,Flat stage
28,Amador Andrey,8,110,Movistar Team,0.0,Medium mountain stage
29,Amador Andrey,9,80,Movistar Team,0.0,High mountain stage
30,Amador Andrey,10,76,Movistar Team,0.0,Flat stage
31,Amador Andrey,11,99,Movistar Team,0.0,Flat stage
32,Amador Andrey,12,101,Movistar Team,0.0,High mountain stage
33,Amador Andrey,13,96,Movistar Team,0.0,High mountain stage
34,Amador Andrey,14,97,Movistar Team,0.0,Medium mountain stage
35,Amador Andrey,15,60,Movistar Team,0.0,Medium mountain stage
36,Amador Andrey,16,55,Movistar Team,0.0,Medium mountain stage
37,Amador Andrey,17,70,Movistar Team,0.0,High mountain stage
38,Amador Andrey,18,99,Movistar Team,0.0,High mountain stage
39,Amador Andrey,19,143,Movistar Team,0.0,Flat stage
40,Amador Andrey,20,163,Movistar Team,0.0,Individual time trial
41,Amador Andrey,21,43,Movistar Team,0.0,Flat stage
42,Arashiro Yukiya,1,175,Bahrain Merida Pro Cycling Team,0.0,Individual time trial
43,Arashiro Yukiya,2,23,Bahrain Merida Pro Cycling Team,0.0,Flat stage
44,Arashiro Yukiya,3,80,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
45,Arashiro Yukiya,4,53,Bahrain Merida Pro Cycling Team,0.0,Flat stage
46,Arashiro Yukiya,5,111,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
47,Arashiro Yukiya,6,131,Bahrain Merida Pro Cycling Team,0.0,Flat stage
48,Arashiro Yukiya,7,42,Bahrain Merida Pro Cycling Team,0.0,Flat stage
49,Arashiro Yukiya,8,143,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
50,Arashiro Yukiya,9,97,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
51,Arashiro Yukiya,10,24,Bahrain Merida Pro Cycling Team,0.0,Flat stage
52,Arashiro Yukiya,11,61,Bahrain Merida Pro Cycling Team,0.0,Flat stage
53,Arashiro Yukiya,12,128,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
54,Arashiro Yukiya,13,102,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
55,Arashiro Yukiya,14,118,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
56,Arashiro Yukiya,15,67,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
57,Arashiro Yukiya,16,45,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
58,Arashiro Yukiya,17,141,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
59,Arashiro Yukiya,18,105,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
60,Arashiro Yukiya,19,95,Bahrain Merida Pro Cycling Team,0.0,Flat stage
61,Arashiro Yukiya,20,108,Bahrain Merida Pro Cycling Team,0.0,Individual time trial
62,Arashiro Yukiya,21,28,Bahrain Merida Pro Cycling Team,0.0,Flat stage
63,Arndt Nikias,1,11,Team Sunweb,8.0,Individual time trial
64,Arndt Nikias,2,108,Team Sunweb,0.0,Flat stage
65,Arndt Nikias,3,47,Team Sunweb,0.0,Medium mountain stage
66,Arndt Nikias,4,34,Team Sunweb,0.0,Flat stage
67,Arndt Nikias,5,109,Team Sunweb,0.0,Medium mountain stage
68,Arndt Nikias,6,117,Team Sunweb,0.0,Flat stage
69,Arndt Nikias,7,125,Team Sunweb,0.0,Flat stage
70,Arndt Nikias,8,86,Team Sunweb,0.0,Medium mountain stage
71,Arndt Nikias,9,132,Team Sunweb,0.0,High mountain stage
72,Arndt Nikias,10,125,Team Sunweb,0.0,Flat stage
73,Arndt Nikias,11,141,Team Sunweb,0.0,Flat stage
74,Arndt Nikias,12,115,Team Sunweb,0.0,High mountain stage
75,Arndt Nikias,13,77,Team Sunweb,0.0,High mountain stage
76,Arndt Nikias,14,51,Team Sunweb,0.0,Medium mountain stage
77,Arndt Nikias,15,128,Team Sunweb,0.0,Medium mountain stage
78,Arndt Nikias,16,26,Team Sunweb,0.0,Medium mountain stage
79,Arndt Nikias,17,82,Team Sunweb,0.0,High mountain stage
80,Arndt Nikias,18,152,Team Sunweb,0.0,High mountain stage
81,Arndt Nikias,19,2,Team Sunweb,70.0,Flat stage
82,Arndt Nikias,20,7,Team Sunweb,22.0,Individual time trial
83,Arndt Nikias,21,27,Team Sunweb,0.0,Flat stage
84,Aru Fabio,1,66,Astana Pro Team,0.0,Individual time trial
85,Aru Fabio,2,60,Astana Pro Team,0.0,Flat stage
86,Aru Fabio,3,17,Astana Pro Team,0.0,Medium mountain stage
87,Aru Fabio,4,26,Astana Pro Team,0.0,Flat stage
88,Aru Fabio,5,1,Astana Pro Team,100.0,Medium mountain stage
89,Aru Fabio,6,39,Astana Pro Team,0.0,Flat stage
90,Aru Fabio,7,53,Astana Pro Team,0.0,Flat stage
91,Aru Fabio,8,6,Astana Pro Team,26.0,Medium mountain stage
92,Aru Fabio,9,5,Astana Pro Team,32.0,High mountain stage
93,Aru Fabio,10,35,Astana Pro Team,0.0,Flat stage
94,Aru Fabio,11,34,Astana Pro Team,0.0,Flat stage
95,Aru Fabio,12,3,Astana Pro Team,50.0,High mountain stage
96,Aru Fabio,13,9,Astana Pro Team,14.0,High mountain stage
97,Aru Fabio,14,30,Astana Pro Team,0.0,Medium mountain stage
98,Aru Fabio,15,31,Astana Pro Team,0.0,Medium mountain stage
99,Aru Fabio,16,18,Astana Pro Team,0.0,Medium mountain stage
100,Aru Fabio,17,10,Astana Pro Team,10.0,High mountain stage
101,Aru Fabio,18,13,Astana Pro Team,4.0,High mountain stage
102,Aru Fabio,19,61,Astana Pro Team,0.0,Flat stage
103,Aru Fabio,20,22,Astana Pro Team,0.0,Individual time trial
104,Aru Fabio,21,58,Astana Pro Team,0.0,Flat stage
105,Atapuma Darwin,1,194,UAE Team Emirates,0.0,Individual time trial
106,Atapuma Darwin,2,134,UAE Team Emirates,0.0,Flat stage
107,Atapuma Darwin,3,145,UAE Team Emirates,0.0,Medium mountain stage
108,Atapuma Darwin,4,142,UAE Team Emirates,0.0,Flat stage
109,Atapuma Darwin,5,81,UAE Team Emirates,0.0,Medium mountain stage
110,Atapuma Darwin,6,170,UAE Team Emirates,0.0,Flat stage
111,Atapuma Darwin,7,164,UAE Team Emirates,0.0,Flat stage
112,Atapuma Darwin,8,106,UAE Team Emirates,0.0,Medium mountain stage
113,Atapuma Darwin,9,109,UAE Team Emirates,0.0,High mountain stage
114,Atapuma Darwin,10,101,UAE Team Emirates,0.0,Flat stage
115,Atapuma Darwin,11,126,UAE Team Emirates,0.0,Flat stage
116,Atapuma Darwin,12,37,UAE Team Emirates,0.0,High mountain stage
117,Atapuma Darwin,13,37,UAE Team Emirates,0.0,High mountain stage
118,Atapuma Darwin,14,69,UAE Team Emirates,0.0,Medium mountain stage
119,Atapuma Darwin,15,116,UAE Team Emirates,0.0,Medium mountain stage
120,Atapuma Darwin,16,85,UAE Team Emirates,0.0,Medium mountain stage
121,Atapuma Darwin,17,12,UAE Team Emirates,6.0,High mountain stage
122,Atapuma Darwin,18,2,UAE Team Emirates,70.0,High mountain stage
123,Atapuma Darwin,19,112,UAE Team Emirates,0.0,Flat stage
124,Atapuma Darwin,20,156,UAE Team Emirates,0.0,Individual time trial
125,Atapuma Darwin,21,132,UAE Team Emirates,0.0,Flat stage
126,Backaert Frederik,1,129,Wanty - Groupe Gobert,0.0,Individual time trial
127,Backaert Frederik,2,39,Wanty - Groupe Gobert,0.0,Flat stage
128,Backaert Frederik,3,190,Wanty - Groupe Gobert,0.0,Medium mountain stage
129,Backaert Frederik,4,64,Wanty - Groupe Gobert,0.0,Flat stage
130,Backaert Frederik,5,98,Wanty - Groupe Gobert,0.0,Medium mountain stage
131,Backaert Frederik,6,159,Wanty - Groupe Gobert,0.0,Flat stage
132,Backaert Frederik,7,187,Wanty - Groupe Gobert,0.0,Flat stage
133,Backaert Frederik,8,129,Wanty - Groupe Gobert,0.0,Medium mountain stage
134,Backaert Frederik,9,92,Wanty - Groupe Gobert,0.0,High mountain stage
135,Backaert Frederik,10,23,Wanty - Groupe Gobert,0.0,Flat stage
136,Backaert Frederik,11,151,Wanty - Groupe Gobert,0.0,Flat stage
137,Backaert Frederik,12,140,Wanty - Groupe Gobert,0.0,High mountain stage
138,Backaert Frederik,13,43,Wanty - Groupe Gobert,0.0,High mountain stage
139,Backaert Frederik,14,48,Wanty - Groupe Gobert,0.0,Medium mountain stage
140,Backaert Frederik,15,137,Wanty - Groupe Gobert,0.0,Medium mountain stage
141,Backaert Frederik,16,149,Wanty - Groupe Gobert,0.0,Medium mountain stage
142,Backaert Frederik,17,78,Wanty - Groupe Gobert,0.0,High mountain stage
143,Backaert Frederik,18,127,Wanty - Groupe Gobert,0.0,High mountain stage
144,Backaert Frederik,19,115,Wanty - Groupe Gobert,0.0,Flat stage
145,Backaert Frederik,20,79,Wanty - Groupe Gobert,0.0,Individual time trial
146,Backaert Frederik,21,41,Wanty - Groupe Gobert,0.0,Flat stage
147,Bak Lars Ytting,1,84,Lotto Soudal,0.0,Individual time trial
148,Bak Lars Ytting,2,141,Lotto Soudal,0.0,Flat stage
149,Bak Lars Ytting,3,97,Lotto Soudal,0.0,Medium mountain stage
150,Bak Lars Ytting,4,71,Lotto Soudal,0.0,Flat stage
151,Bak Lars Ytting,5,99,Lotto Soudal,0.0,Medium mountain stage
152,Bak Lars Ytting,6,152,Lotto Soudal,0.0,Flat stage
153,Bak Lars Ytting,7,123,Lotto Soudal,0.0,Flat stage
154,Bak Lars Ytting,8,151,Lotto Soudal,0.0,Medium mountain stage
155,Bak Lars Ytting,9,46,Lotto Soudal,0.0,High mountain stage
156,Bak Lars Ytting,10,120,Lotto Soudal,0.0,Flat stage
157,Bak Lars Ytting,11,120,Lotto Soudal,0.0,Flat stage
158,Bak Lars Ytting,12,75,Lotto Soudal,0.0,High mountain stage
159,Bak Lars Ytting,13,164,Lotto Soudal,0.0,High mountain stage
160,Bak Lars Ytting,14,132,Lotto Soudal,0.0,Medium mountain stage
161,Bak Lars Ytting,15,139,Lotto Soudal,0.0,Medium mountain stage
162,Bak Lars Ytting,16,124,Lotto Soudal,0.0,Medium mountain stage
163,Bak Lars Ytting,17,103,Lotto Soudal,0.0,High mountain stage
164,Bak Lars Ytting,18,77,Lotto Soudal,0.0,High mountain stage
165,Bak Lars Ytting,19,120,Lotto Soudal,0.0,Flat stage
166,Bak Lars Ytting,20,29,Lotto Soudal,0.0,Individual time trial
167,Bak Lars Ytting,21,127,Lotto Soudal,0.0,Flat stage
168,Bakelants Jan,1,99,AG2R La Mondiale,0.0,Individual time trial
169,Bakelants Jan,2,93,AG2R La Mondiale,0.0,Flat stage
170,Bakelants Jan,3,45,AG2R La Mondiale,0.0,Medium mountain stage
171,Bakelants Jan,4,104,AG2R La Mondiale,0.0,Flat stage
172,Bakelants Jan,5,51,AG2R La Mondiale,0.0,Medium mountain stage
173,Bakelants Jan,6,72,AG2R La Mondiale,0.0,Flat stage
174,Bakelants Jan,7,104,AG2R La Mondiale,0.0,Flat stage
175,Bakelants Jan,8,57,AG2R La Mondiale,0.0,Medium mountain stage
176,Bakelants Jan,9,22,AG2R La Mondiale,0.0,High mountain stage
177,Bakelants Jan,10,63,AG2R La Mondiale,0.0,Flat stage
178,Bakelants Jan,11,67,AG2R La Mondiale,0.0,Flat stage
179,Bakelants Jan,12,40,AG2R La Mondiale,0.0,High mountain stage
180,Bakelants Jan,13,51,AG2R La Mondiale,0.0,High mountain stage
181,Bakelants Jan,14,14,AG2R La Mondiale,2.0,Medium mountain stage
182,Bakelants Jan,15,8,AG2R La Mondiale,18.0,Medium mountain stage
183,Bakelants Jan,16,64,AG2R La Mondiale,0.0,Medium mountain stage
184,Bakelants Jan,17,41,AG2R La Mondiale,0.0,High mountain stage
185,Bakelants Jan,18,29,AG2R La Mondiale,0.0,High mountain stage
186,Bakelants Jan,19,8,AG2R La Mondiale,18.0,Flat stage
187,Bakelants Jan,20,51,AG2R La Mondiale,0.0,Individual time trial
188,Bakelants Jan,21,61,AG2R La Mondiale,0.0,Flat stage
189,Bardet Romain,1,63,AG2R La Mondiale,0.0,Individual time trial
190,Bardet Romain,2,88,AG2R La Mondiale,0.0,Flat stage
191,Bardet Romain,3,12,AG2R La Mondiale,6.0,Medium mountain stage
192,Bardet Romain,4,31,AG2R La Mondiale,0.0,Flat stage
193,Bardet Romain,5,5,AG2R La Mondiale,32.0,Medium mountain stage
194,Bardet Romain,6,32,AG2R La Mondiale,0.0,Flat stage
195,Bardet Romain,7,54,AG2R La Mondiale,0.0,Flat stage
196,Bardet Romain,8,27,AG2R La Mondiale,0.0,Medium mountain stage
197,Bardet Romain,9,4,AG2R La Mondiale,40.0,High mountain stage
198,Bardet Romain,10,32,AG2R La Mondiale,0.0,Flat stage
199,Bardet Romain,11,47,AG2R La Mondiale,0.0,Flat stage
200,Bardet Romain,12,1,AG2R La Mondiale,100.0,High mountain stage
201,Bardet Romain,13,11,AG2R La Mondiale,8.0,High mountain stage
202,Bardet Romain,14,11,AG2R La Mondiale,8.0,Medium mountain stage
203,Bardet Romain,15,33,AG2R La Mondiale,0.0,Medium mountain stage
204,Bardet Romain,16,16,AG2R La Mondiale,0.0,Medium mountain stage
205,Bardet Romain,17,4,AG2R La Mondiale,40.0,High mountain stage
206,Bardet Romain,18,3,AG2R La Mondiale,50.0,High mountain stage
207,Bardet Romain,19,31,AG2R La Mondiale,0.0,Flat stage
208,Bardet Romain,20,52,AG2R La Mondiale,0.0,Individual time trial
209,Bardet Romain,21,30,AG2R La Mondiale,0.0,Flat stage
210,Barguil Warren,1,81,Team Sunweb,0.0,Individual time trial
211,Barguil Warren,2,119,Team Sunweb,0.0,Flat stage
212,Barguil Warren,3,40,Team Sunweb,0.0,Medium mountain stage
213,Barguil Warren,4,82,Team Sunweb,0.0,Flat stage
214,Barguil Warren,5,57,Team Sunweb,0.0,Medium mountain stage
215,Barguil Warren,6,134,Team Sunweb,0.0,Flat stage
216,Barguil Warren,7,96,Team Sunweb,0.0,Flat stage
217,Barguil Warren,8,47,Team Sunweb,0.0,Medium mountain stage
218,Barguil Warren,9,2,Team Sunweb,70.0,High mountain stage
219,Barguil Warren,10,55,Team Sunweb,0.0,Flat stage
220,Barguil Warren,11,64,Team Sunweb,0.0,Flat stage
221,Barguil Warren,12,12,Team Sunweb,6.0,High mountain stage
222,Barguil Warren,13,1,Team Sunweb,100.0,High mountain stage
223,Barguil Warren,14,52,Team Sunweb,0.0,Medium mountain stage
224,Barguil Warren,15,5,Team Sunweb,32.0,Medium mountain stage
225,Barguil Warren,16,21,Team Sunweb,0.0,Medium mountain stage
226,Barguil Warren,17,5,Team Sunweb,32.0,High mountain stage
227,Barguil Warren,18,1,Team Sunweb,100.0,High mountain stage
228,Barguil Warren,19,70,Team Sunweb,0.0,Flat stage
229,Barguil Warren,20,19,Team Sunweb,0.0,Individual time trial
230,Barguil Warren,21,47,Team Sunweb,0.0,Flat stage
231,Bauer Jack,1,56,Quick-Step Floors,0.0,Individual time trial
232,Bauer Jack,2,94,Quick-Step Floors,0.0,Flat stage
233,Bauer Jack,3,112,Quick-Step Floors,0.0,Medium mountain stage
234,Bauer Jack,4,190,Quick-Step Floors,0.0,Flat stage
235,Bauer Jack,5,107,Quick-Step Floors,0.0,Medium mountain stage
236,Bauer Jack,6,167,Quick-Step Floors,0.0,Flat stage
237,Bauer Jack,7,16,Quick-Step Floors,0.0,Flat stage
238,Bauer Jack,8,138,Quick-Step Floors,0.0,Medium mountain stage
239,Bauer Jack,9,115,Quick-Step Floors,0.0,High mountain stage
240,Bauer Jack,10,25,Quick-Step Floors,0.0,Flat stage
241,Bauer Jack,11,122,Quick-Step Floors,0.0,Flat stage
242,Bauer Jack,12,100,Quick-Step Floors,0.0,High mountain stage
243,Bauer Jack,13,170,Quick-Step Floors,0.0,High mountain stage
244,Bauer Jack,14,89,Quick-Step Floors,0.0,Medium mountain stage
245,Bauer Jack,15,118,Quick-Step Floors,0.0,Medium mountain stage
246,Bauer Jack,16,75,Quick-Step Floors,0.0,Medium mountain stage
247,Bauer Jack,17,61,Quick-Step Floors,0.0,High mountain stage
248,Bauer Jack,18,93,Quick-Step Floors,0.0,High mountain stage
249,Bauer Jack,19,63,Quick-Step Floors,0.0,Flat stage
250,Bauer Jack,20,11,Quick-Step Floors,8.0,Individual time trial
251,Bauer Jack,21,18,Quick-Step Floors,0.0,Flat stage
252,Bennati Daniele,1,76,Movistar Team,0.0,Individual time trial
253,Bennati Daniele,2,40,Movistar Team,0.0,Flat stage
254,Bennati Daniele,3,116,Movistar Team,0.0,Medium mountain stage
255,Bennati Daniele,4,67,Movistar Team,0.0,Flat stage
256,Bennati Daniele,5,140,Movistar Team,0.0,Medium mountain stage
257,Bennati Daniele,6,31,Movistar Team,0.0,Flat stage
258,Bennati Daniele,7,82,Movistar Team,0.0,Flat stage
259,Bennati Daniele,8,162,Movistar Team,0.0,Medium mountain stage
260,Bennati Daniele,9,130,Movistar Team,0.0,High mountain stage
261,Bennati Daniele,10,51,Movistar Team,0.0,Flat stage
262,Bennati Daniele,11,36,Movistar Team,0.0,Flat stage
263,Bennati Daniele,12,139,Movistar Team,0.0,High mountain stage
264,Bennati Daniele,13,129,Movistar Team,0.0,High mountain stage
265,Bennati Daniele,14,73,Movistar Team,0.0,Medium mountain stage
266,Bennati Daniele,15,92,Movistar Team,0.0,Medium mountain stage
267,Bennati Daniele,16,28,Movistar Team,0.0,Medium mountain stage
268,Bennati Daniele,17,167,Movistar Team,0.0,High mountain stage
269,Bennati Daniele,18,149,Movistar Team,0.0,High mountain stage
270,Bennati Daniele,19,4,Movistar Team,40.0,Flat stage
271,Bennati Daniele,20,98,Movistar Team,0.0,Individual time trial
272,Bennati Daniele,21,10,Movistar Team,10.0,Flat stage
273,Bennett George,1,162,Team LottoNL-Jumbo,0.0,Individual time trial
274,Bennett George,2,90,Team LottoNL-Jumbo,0.0,Flat stage
275,Bennett George,3,44,Team LottoNL-Jumbo,0.0,Medium mountain stage
276,Bennett George,4,99,Team LottoNL-Jumbo,0.0,Flat stage
277,Bennett George,5,14,Team LottoNL-Jumbo,2.0,Medium mountain stage
278,Bennett George,6,48,Team LottoNL-Jumbo,0.0,Flat stage
279,Bennett George,7,83,Team LottoNL-Jumbo,0.0,Flat stage
280,Bennett George,8,19,Team LottoNL-Jumbo,0.0,Medium mountain stage
281,Bennett George,9,7,Team LottoNL-Jumbo,22.0,High mountain stage
282,Bennett George,10,39,Team LottoNL-Jumbo,0.0,Flat stage
283,Bennett George,11,39,Team LottoNL-Jumbo,0.0,Flat stage
284,Bennett George,12,8,Team LottoNL-Jumbo,18.0,High mountain stage
285,Bennett George,13,22,Team LottoNL-Jumbo,0.0,High mountain stage
286,Bennett George,14,25,Team LottoNL-Jumbo,0.0,Medium mountain stage
287,Bennett George,15,32,Team LottoNL-Jumbo,0.0,Medium mountain stage
288,Bennett George,16,DNF,Team LottoNL-Jumbo,0.0,Medium mountain stage
289,Benoot Tiesj,1,123,Lotto Soudal,0.0,Individual time trial
290,Benoot Tiesj,2,55,Lotto Soudal,0.0,Flat stage
291,Benoot Tiesj,3,15,Lotto Soudal,1.0,Medium mountain stage
292,Benoot Tiesj,4,9,Lotto Soudal,14.0,Flat stage
293,Benoot Tiesj,5,26,Lotto Soudal,0.0,Medium mountain stage
294,Benoot Tiesj,6,40,Lotto Soudal,0.0,Flat stage
295,Benoot Tiesj,7,25,Lotto Soudal,0.0,Flat stage
296,Benoot Tiesj,8,68,Lotto Soudal,0.0,Medium mountain stage
297,Benoot Tiesj,9,12,Lotto Soudal,6.0,High mountain stage
298,Benoot Tiesj,10,127,Lotto Soudal,0.0,Flat stage
299,Benoot Tiesj,11,83,Lotto Soudal,0.0,Flat stage
300,Benoot Tiesj,12,17,Lotto Soudal,0.0,High mountain stage
301,Benoot Tiesj,13,53,Lotto Soudal,0.0,High mountain stage
302,Benoot Tiesj,14,10,Lotto Soudal,10.0,Medium mountain stage
303,Benoot Tiesj,15,11,Lotto Soudal,8.0,Medium mountain stage
304,Benoot Tiesj,16,8,Lotto Soudal,18.0,Medium mountain stage
305,Benoot Tiesj,17,24,Lotto Soudal,0.0,High mountain stage
306,Benoot Tiesj,18,22,Lotto Soudal,0.0,High mountain stage
307,Benoot Tiesj,19,119,Lotto Soudal,0.0,Flat stage
308,Benoot Tiesj,20,23,Lotto Soudal,0.0,Individual time trial
309,Benoot Tiesj,21,42,Lotto Soudal,0.0,Flat stage
310,Betancur Carlos,1,69,Movistar Team,0.0,Individual time trial
311,Betancur Carlos,2,42,Movistar Team,0.0,Flat stage
312,Betancur Carlos,3,23,Movistar Team,0.0,Medium mountain stage
313,Betancur Carlos,4,94,Movistar Team,0.0,Flat stage
314,Betancur Carlos,5,42,Movistar Team,0.0,Medium mountain stage
315,Betancur Carlos,6,64,Movistar Team,0.0,Flat stage
316,Betancur Carlos,7,93,Movistar Team,0.0,Flat stage
317,Betancur Carlos,8,11,Movistar Team,8.0,Medium mountain stage
318,Betancur Carlos,9,25,Movistar Team,0.0,High mountain stage
319,Betancur Carlos,10,97,Movistar Team,0.0,Flat stage
320,Betancur Carlos,11,59,Movistar Team,0.0,Flat stage
321,Betancur Carlos,12,21,Movistar Team,0.0,High mountain stage
322,Betancur Carlos,13,13,Movistar Team,4.0,High mountain stage
323,Betancur Carlos,14,37,Movistar Team,0.0,Medium mountain stage
324,Betancur Carlos,15,44,Movistar Team,0.0,Medium mountain stage
325,Betancur Carlos,16,54,Movistar Team,0.0,Medium mountain stage
326,Betancur Carlos,17,28,Movistar Team,0.0,High mountain stage
327,Betancur Carlos,18,12,Movistar Team,6.0,High mountain stage
328,Betancur Carlos,19,103,Movistar Team,0.0,Flat stage
329,Betancur Carlos,20,30,Movistar Team,0.0,Individual time trial
330,Betancur Carlos,21,63,Movistar Team,0.0,Flat stage
331,Bettiol Alberto,1,64,Cannondale-Drapac Pro Cycling Team,0.0,Individual time trial
332,Bettiol Alberto,2,79,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
333,Bettiol Alberto,3,5,Cannondale-Drapac Pro Cycling Team,32.0,Medium mountain stage
334,Bettiol Alberto,4,141,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
335,Bettiol Alberto,5,84,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
336,Bettiol Alberto,6,177,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
337,Bettiol Alberto,7,78,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
338,Bettiol Alberto,8,85,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
339,Bettiol Alberto,9,118,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
340,Bettiol Alberto,10,161,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
341,Bettiol Alberto,11,174,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
342,Bettiol Alberto,12,73,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
343,Bettiol Alberto,13,48,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
344,Bettiol Alberto,14,98,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
345,Bettiol Alberto,15,48,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
346,Bettiol Alberto,16,163,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
347,Bettiol Alberto,17,63,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
348,Bettiol Alberto,18,115,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
349,Bettiol Alberto,19,47,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
350,Bettiol Alberto,20,87,Cannondale-Drapac Pro Cycling Team,0.0,Individual time trial
351,Bettiol Alberto,21,33,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
352,Bevin Patrick,1,180,Cannondale-Drapac Pro Cycling Team,0.0,Individual time trial
353,Bevin Patrick,2,127,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
354,Bevin Patrick,3,83,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
355,Bevin Patrick,4,24,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
356,Bevin Patrick,5,86,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
357,Bevin Patrick,6,127,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
358,Bevin Patrick,7,29,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
359,Bevin Patrick,8,117,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
360,Bevin Patrick,9,86,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
361,Bevin Patrick,10,90,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
362,Bevin Patrick,11,108,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
363,Bevin Patrick,12,112,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
364,Bevin Patrick,13,85,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
365,Bevin Patrick,14,130,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
366,Bevin Patrick,15,129,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
367,Bevin Patrick,16,112,Cannondale-Drapac Pro Cycling Team,0.0,Medium mountain stage
368,Bevin Patrick,17,79,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
369,Bevin Patrick,18,130,Cannondale-Drapac Pro Cycling Team,0.0,High mountain stage
370,Bevin Patrick,19,40,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
371,Bevin Patrick,20,120,Cannondale-Drapac Pro Cycling Team,0.0,Individual time trial
372,Bevin Patrick,21,37,Cannondale-Drapac Pro Cycling Team,0.0,Flat stage
373,Boasson Hagen Edvald,1,10,Team Dimension Data,10.0,Individual time trial
374,Boasson Hagen Edvald,2,19,Team Dimension Data,0.0,Flat stage
